Gloss	Concepticon_ID	Synset
WALK	1443	walk.v.01
LIMP	366	limp.v.01
RUN	1519	run.v.01
GO	695	travel.v.01
GO UP (ASCEND)	705	ascend.v.01
CLIMB	1102	climb.v.01
GO OUT	1107	exit.v.01
COME	1446	arrive.v.01
LEAVE	1752	exit.v.01
DISAPPEAR	485	disappear.v.01
FLEE	956	flee.v.01
FOLLOW	1085	follow.v.01
ARRIVE	1387	arrive.v.01
APPROACH	1778	approach.v.01
ENTER	749	enter.v.01
CARRY	700	transport.v.02
BRING	692	bring.v.01
SEND	1127	mail.v.02
RIDE	367	ride.v.01
PUSH	1452	push.v.01
ROAD	667	road.n.01
AXLE	1769	axle.n.01
YOKE	14	yoke.n.05
CANOE	1970	canoe.n.01
ROW	1849	row.v.01
MAST	184	mast.n.01
PORT	610	port.n.01
HAVE	773	have.v.01
TAKE	1749	take.v.04
HOLD	1448	hold.v.02
GET	694	get.v.01
KEEP	1477	keep.v.03
THING	738	thing.n.12
GIVE	1447	give.v.03
GIVE BACK	85	refund.v.01
DESTROY	681	destroy.v.02
FIND	719	find.v.03
MONEY	1559	money.n.01
RICH	712	rich.a.01
POOR	1674	poor.a.02
BEGGAR	1934	beggar.n.01
STINGY	1774	stingy.a.01
LEND	582	lend.v.02
BORROW	1823	borrow.v.01
DEBT	1914	debt.n.02
PAY	718	pay.v.01
BILL	1081	bill.n.02
TAX	873	tax.n.01
EARN	733	gain.v.08
BUY	1869	buy.v.01
SELL	1571	sell.v.01
TRADE OR BARTER	2135	barter.v.01
MERCHANT	1082	merchant.n.01
MARKET	633	marketplace.n.02
STORE	752	shop.n.01
PRICE	657	price.n.02
EXPENSIVE	1426	expensive.a.01
CHEAP	1887	cheap.a.01
SHARE	884	partake.v.02
WEIGH	1098	weigh.v.01
PLACE (POSITION)	723	position.n.01
PUT	998	put.v.01
SIT	1416	sit_down.v.01
LIE DOWN	215	lie_down.v.01
STAND	1442	stand.v.01
REMAIN	987	stay.v.04
GATHER	7	gather.v.01
PICK UP	371	pick_up.v.02
JOIN	1743	join.v.02
SEPARATE	1359	separate.v.02
DIVIDE	1119	divide.v.01
OPEN	1156	open.v.01
SHUT	1046	close.v.01
COVER	761	cover.v.01
HIGH	1265	high.r.01
LOW	721	low.r.01
POINTED	372	pointed.a.01
EDGE	863	edge.n.06
SIDE	682	side.n.01
NEAR	1942	near.r.01
EAST	1877	east.n.01
WEST	1817	west.n.02
NORTH	1598	north.n.03
SOUTH	1595	south.n.03
GROW	479	grow.v.03
MEASURE	1506	measure.v.01
BIG	1202	large.a.01
SMALL	1246	small.a.01
LONG	1203	long.a.02
TALL	711	tall.a.01
SHORT	1645	short.a.02
WIDE	1243	wide.a.01
NARROW	1267	narrow.a.01
THICK	1244	thick.a.01
DEEP	1593	deep.a.03
SHALLOW	193	shallow.a.01
FLAT	1633	flat.s.01
STRAIGHT	1404	straight.a.02
CROOKED	297	crooked.a.01
HOOK	1071	hook.n.05
CROSS	1367	crisscross.n.01
ROUND	1395	round.a.01
CIRCLE	1467	circle.n.03
LINE	1048	line.n.04
HOLE	1667	hole.n.01
SIMILAR	1558	similar.a.01
CHANGE	1264	change.v.01
FIFTEEN	1709	fifteen.s.01
COUNT	1420	count.v.01
ALL	98	all.a.01
MANY	1198	many.a.01
MORE	1992	more.a.02
FEW	1242	few.a.01
ENOUGH	1881	enough.r.01
SOME	1241	some.a.01
CROWD	2023	crowd.n.01
FULL	1429	full.a.01
EMPTY	1624	empty.a.01
PART	779	part.n.02
HALF	816	one-half.n.01
ONLY	1580	entirely.r.02
FIRST	728	first.a.01
LAST (FINAL)	1529	last.a.02
SECOND	1384	second.s.01
PAIR	1888	pair.n.01
TWICE	1546	twice.r.01
THIRD	1859	third.s.01
TIME	892	time.n.05
AGE	1789	age.n.01
NEW	1231	new.a.01
YOUNG	1207	young.a.01
OLD	1229	old.a.01
EARLY	672	early.r.03
LATE	477	late.r.01
NOW	1376	now.r.04
IMMEDIATELY	1963	immediately.r.01
FAST	1631	fast.r.01
SLOW	701	slowly.r.01
HURRY	754	rush.v.04
CEASE	1928	end.v.01
READY	790	ready.a.01
ALWAYS	1676	always.r.01
OFTEN	1852	frequently.r.01
SOMETIMES	1544	sometimes.r.01
SOON	703	soon.r.01
NEVER	1656	never.r.01
AGAIN	204	again.r.01
DAWN	729	dawn.n.01
MIDDAY	12	noon.n.01
TODAY	1283	today.r.02
TOMORROW	1329	tomorrow.r.01
YESTERDAY	1174	yesterday.r.01
HOUR	1353	hour.n.01
CLOCK	1323	clock.n.01
WEEK	1469	week.n.01
SUNDAY	1699	sunday.n.01
MONDAY	1697	monday.n.01
TUESDAY	1695	tuesday.n.01
WEDNESDAY	1694	wednesday.n.01
THURSDAY	1693	thursday.n.01
FRIDAY	1692	friday.n.01
SATURDAY	1700	saturday.n.01
SEASON	691	season.n.02
SMELL (STINK)	1587	smell.v.02
STINKING	42	fetid.s.01
TASTE (SOMETHING)	21	taste.v.01
SALTY	1091	salty.s.03
BITTER	887	bitter.s.06
SOUR	1906	sour.a.02
HEAR	1408	hear.v.01
SOUND OR NOISE	1811	noise.n.01
LOUD	377	loudly.r.01
SEE	1409	see.v.01
LOOK	1819	look.v.01
SHOW	1039	indicate.v.02
SHINE	708	shine.v.02
BRIGHT	679	bright.a.01
DARK	706	dark.a.02
TOUCH	1892	touch.v.01
PINCH	378	pinch.v.01
FEEL	1079	feel.v.09
HARD	1884	hard.a.03
SOFT	1856	soft.a.01
SMOOTH	1234	smooth.a.01
SHARP	1396	sharp.a.09
BLUNT	379	blunt.s.02
WET	1726	wet.a.01
DRY	1398	dry.a.01
HOT	1286	hot.a.01
WARM	1232	warm.a.01
CLEAN	704	clean.a.01
DIRTY	1230	dirty.a.01
SURPRISED	1572	amazed.s.01
HAPPY	1495	happy.a.01
LAUGH	1355	laugh.v.01
SMILE	1451	smile.v.01
PLAY	1413	play.v.05
LOVE	923	love.v.03
KISS	578	snog.v.01
EMBRACE	928	embrace.v.02
PAIN	1783	pain.n.03
GRIEF	1668	grief.n.02
ANXIETY	1000	anxiety.n.02
REGRET	1875	repent.v.02
CRY	1839	cry.v.02
ANGER	82	anger.n.02
ENVY	40	jealousy.n.01
SHAME	1776	shame.n.01
PROUD	174	proud.a.01
DARE	1779	dare.v.02
BRAVE	3	brave.a.01
FEAR (FRIGHT)	781	fear.n.01
DANGER	1810	danger.n.01
WANT	1784	desire.v.01
CHOOSE	1750	choose.v.01
HOPE	1092	hope.v.02
FAITHFUL	100	faithful.a.01
TRUE	1657	true.a.01
LIE (MISLEAD)	601	lie.v.05
DECEIT	13	deception.n.02
FORGIVE	1528	forgive.v.01
GOOD	1035	good.a.01
BAD	1292	bad.a.01
WRONG	1390	faulty.s.02
FAULT	134	fault.n.06
MISTAKE	1293	mistake.n.01
BEAUTIFUL	1427	beautiful.a.01
UGLY	1548	ugly.a.01
GREEDY	2018	avaricious.s.01
CLEVER	1310	apt.s.03
MIND	1562	mind.n.01
BELIEVE	1890	believe.v.01
UNDERSTAND	1536	understand.v.01
KNOW (SOMETHING)	1410	know.v.01
GUESS	1932	estimate.v.01
IMITATE	117	imitate.v.01
SEEM	1521	look.v.02
WISE	698	wise.a.01
STUPID	1518	stupid.a.01
LEARN	504	learn.v.01
STUDY	1929	study.v.05
TEACH	709	teach.v.01
PUPIL (STUDENT)	753	student.n.01
REMEMBER	707	remember.v.01
FORGET	1523	forget.v.02
CLEAR	989	clear.a.01
OBSCURE	1764	obscure.s.01
SECRET	1121	secret.s.01
CERTAIN	509	certain.a.03
EXPLAIN	1626	explain.v.01
INTENTION	1162	intention.n.03
CAUSE	860	cause.n.01
DOUBT	1308	doubt.n.01
SUSPECT	1841	suspect.v.01
BETRAY	1902	fail.v.03
NEED (NOUN)	643	necessity.n.01
EASY	686	elementary.s.01
DIFFICULT	584	difficult.a.01
TRY	1812	try.v.01
MANNER	488	manner.n.01
VOICE	1363	voice.n.02
SING	1261	sing.v.02
SHOUT	715	exclaim.v.01
WHISPER	55	whisper.v.01
HOWL	526	howl.v.02
SPEAK	1623	speak.v.03
STUTTER	1866	bumble.v.03
SAY	1458	allege.v.01
TELL	1711	tell.v.03
SPEECH	1115	address.n.03
LANGUAGE	1307	language.n.01
WORD	1599	word.n.01
NAME	1405	name.n.01
ASK (INQUIRE)	1309	ask.v.05
ANSWER	1275	answer.v.01
ADMIT	2022	admit.v.01
DENY	755	deny.v.04
PROMISE	1675	promise.v.01
CALL	1084	call.v.05
ANNOUNCE	9	announce.v.01
BOAST	101	boast.v.01
TOWN	1391	town.n.01
VILLAGE	930	village.n.02
BOUNDARY	1010	boundary.n.02
PEOPLE	789	citizenry.n.01
RULE	1846	govern.v.03
NOBLE	482	lord.n.03
CITIZEN	1032	citizen.n.01
MASTER	383	overlord.n.01
SLAVE	812	slave.n.01
SERVANT	255	servant.n.01
OBEY	1635	obey.v.01
ENEMY	1358	foe.n.02
NEIGHBOUR	1332	neighbor.n.01
STRANGER	791	stranger.n.02
GUEST	1782	guest.n.01
HOST	1545	host.n.01
HELP	1897	help.v.01
CUSTOM	1747	custom.n.01
QUARREL	1848	quarrel.n.01
PLOT	2024	plot.n.01
MEET	1831	meet.v.09
PROSTITUTE	1610	prostitute.n.01
PERSON	683	person.n.01
MALE (OF PERSON)	2261	male.a.01
FEMALE (OF PERSON)	2260	female.s.03
GIRL	1646	female_child.n.01
BABY	1289	baby.n.01
HUSBAND	1200	husband.n.01
WIFE	1199	wife.n.01
MARRY	203	marry.v.01
DIVORCE	1134	divorce.n.01
PARENTS	505	parent.n.01
SON	1620	son.n.01
DAUGHTER	1357	daughter.n.01
GRANDMOTHER	1496	grandma.n.01
GRANDSON	1618	grandson.n.01
GRANDDAUGHTER	1619	granddaughter.n.01
AUNT	1272	aunt.n.01
NEPHEW	1063	nephew.n.01
NIECE	1642	niece.n.01
ANCESTORS	1669	ancestor.n.01
STEPFATHER	237	stepfather.n.01
STEPMOTHER	236	stepmother.n.01
STEPSON	1059	stepson.n.01
WIDOWER	1981	widower.n.01
RELATIVES	1644	relative.n.01
FIGHT	1423	contend.v.06
BATTLE	579	battle.n.01
SOLDIER	1941	soldier.n.01
CLUB	1763	club.n.03
SLING	387	sling.n.04
SPEAR	945	spear.n.01
ARMOUR	1061	armor.n.01
HELMET	1680	helmet.n.02
SHIELD	1064	shield.n.02
FORTRESS	1938	fortress.n.01
DEFEAT	782	defeat.n.01
ATTACK	722	attack.n.05
DEFEND	1330	defend.v.03
SURRENDER	1696	surrender.v.01
PRISONER	1072	prisoner.n.01
GUARD	1940	guard.n.01
BOOTY	1022	loot.n.01
AMBUSH	65	ambush.n.01
FISHING LINE	19	fishing_line.n.01
BAIT	2013	bait.n.02
HUNT	1435	hunt.v.01
SHOOT	1172	shoot.v.01
MISS (A TARGET)	161	miss.v.07
LAW	1062	law.n.01
JUDGMENT	1067	judgment.n.03
WITNESS	1144	witness.n.01
SWEAR	1939	swear.v.03
OATH	1712	oath.n.03
ACCUSE	1814	accuse.v.01
CONDEMN	484	sentence.v.01
ACQUIT	988	acquit.v.01
GUILTY	1682	guilty.a.01
INNOCENT	90	innocent.a.01
PUNISHMENT	390	punishment.n.01
FINE (PENALTY)	218	fine.n.01
PRISON	1281	prison.n.01
MURDER	845	murder.n.01
ADULTERY	902	adultery.n.01
RAPE	953	rape.n.03
ARSON	1889	arson.n.01
THIEF	1160	thief.n.01
LIVESTOCK	631	livestock.n.01
STABLE	851	stall.n.01
CATTLE	1153	cattle.n.01
OX	1169	ox.n.01
CALF	1989	calf.n.01
RAM	1344	ram.n.05
BOAR	1348	wild_boar.n.01
SOW (FEMALE PIG)	1351	sow.n.01
HE-GOAT	264	billy.n.02
KID	1972	kid.n.05
STALLION	936	stallion.n.01
MARE	938	mare.n.01
FOAL	1647	colt.n.01
MULE	890	mule.n.01
FOWL	265	domestic_fowl.n.01
HEN	1514	hen.n.01
GOOSE	1187	goose.n.01
VULTURE	1185	old_world_vulture.n.01
OWL	735	owl.n.01
MUROID (MOUSE OR RAT)	2139	rat.n.01
GILL	1916	gill.n.04
SHELL	598	shell.n.10
DOLPHIN	1479	dolphin.n.02
FRESHWATER EEL	1013	common_eel.n.01
INSECT	620	insect.n.01
NIT	267	nit.n.02
FLEA	232	flea.n.01
CENTIPEDE	1974	diplopoda.n.01
COCKROACH	1575	cockroach.n.01
BEESWAX	1931	beeswax.n.01
WORM	1219	worm.n.01
CROCODILE	1857	alligator.n.02
SKIN	763	hide.n.02
DANDRUFF	576	dandruff.n.02
BLOOD	946	blood.n.01
BLOOD VESSEL	525	artery.n.01
RIB	801	rib.n.02
HORN (ANATOMY)	1393	horn.n.02
SKULL	1605	skull.n.01
BRAIN	1583	brain.n.01
JAW	798	jaw.n.01
EYELID	17	eyelid.n.01
EYELASH	1540	eyelash.n.01
BLINK	1655	blink.v.01
NOSTRIL	1178	nostril.n.01
NASAL MUCUS (SNOT)	208	snot.n.02
MOUTH	674	mouth.n.01
BEAK	73	beak.n.02
NAPE (OF NECK)	1347	nape.n.01
THROAT	1346	throat.n.01
SHOULDER	1482	shoulder.n.01
COLLARBONE	1994	clavicle.n.01
ARMPIT	1886	armpit.n.01
ELBOW	981	elbow.n.01
WRIST	799	wrist.n.01
PALM OF HAND	1183	palm.n.01
CLAW	72	claw.n.01
LEG	1297	leg.n.02
THIGH	800	thigh.n.01
ANKLE	803	ankle.n.01
HEEL	980	heel.n.02
TOE	1389	toe.n.01
FEATHER	1201	feather.n.01
CHEST	1592	thorax.n.02
BREAST	1402	breast.n.02
NIPPLE	796	nipple.n.01
UDDER	154	udder.n.01
LUNG	688	lung.n.01
LIVER	1224	liver.n.01
KIDNEY	489	kidney.n.01
SPLEEN	1744	spleen.n.01
WAIST	1681	waist.n.01
HIP	1745	hip.n.01
BUTTOCKS	834	buttocks.n.01
PENIS	1222	penis.n.01
COUGH	879	cough.v.01
SNEEZE	1621	sneeze.v.01
SWEAT (PERSPIRE)	126	sweat.v.01
SPIT	1440	spit.v.01
VOMIT	1278	vomit.v.01
BITE	1403	bite.v.01
LICK	319	lick.v.02
SNORE	1983	snore.v.01
DREAM (SOMETHING)	1920	dream.v.02
WAKE UP	1602	wake_up.v.02
FART	1159	fart.v.01
PISS	592	make.v.49
SHIT (DEFECATE)	676	stool.v.04
HAVE SEX	1785	sleep_together.v.01
BATHE	138	bathe.v.01
BE BORN	1090	be_born.v.01
PREGNANT	1123	pregnant.a.01
CORPSE	767	cadaver.n.01
BURY	1719	bury.v.02
GRAVE	1773	grave.n.02
WEAK	1601	weak.a.01
HEALTHY	1364	healthy.a.01
SICK	1847	ill.a.01
FEVER	1534	fever.n.01
WOUND	1109	sore.n.01
BRUISE	1148	bruise.n.01
SWELLING	1903	swelling.n.01
ITCH	148	itch.n.03
BLISTER	1584	blister.n.03
BOIL (OF SKIN)	793	boil.n.01
PUS	1808	pus.n.02
SCAR	497	scar.n.01
CURE	499	bring_around.v.02
MEDICINE	1372	medicine.n.02
POISON	655	poison.n.01
TIRED	1757	tired.a.01
REST	168	rest.v.05
LAZY	1564	faineant.s.01
BALD	1125	bald.s.02
LAME	320	crippled.s.01
DEAF	996	deaf.a.01
MUTE	1666	dumb.s.04
BLIND	1653	blind.a.01
DRUNK	1463	intoxicated.a.01
NAKED	590	bare.s.01
FOOD	256	food.n.02
COOKED	269	cooked.a.01
RAW	1959	raw.a.03
RIPE	178	ripe.a.01
ROTTEN	1728	rotten.s.03
FAMINE	199	famine.n.02
SUCK	1421	suck.v.01
CHOKE	129	choke.v.04
ROAST OR FRY	2146	fry.v.02
BAKE	183	bake.v.02
KETTLE	854	kettle.n.01
BOWL	1530	bowl.n.01
MEAL	1526	meal.n.01
BREAKFAST	1322	breakfast.n.01
LUNCH	768	lunch.n.01
DINNER (SUPPER)	1833	dinner.n.01
PEEL	275	skin.v.04
MIX	2017	mix.v.04
KNEAD	274	knead.v.01
GRIND	1033	grind.v.05
MILL	636	mill.n.04
MORTAR CRUSHER	224	mortar.n.03
SAUSAGE	1874	sausage.n.01
SOUP	1547	soup.n.01
VEGETABLES	924	vegetable.n.01
BUNCH	1966	bunch.n.01
NUT	191	nut.n.01
OLIVE	1154	olive.n.01
FAT (ORGANIC SUBSTANCE)	323	fat.n.01
WINE	1524	wine.n.01
YOLK	1556	egg_yolk.n.01
PUT ON	158	wear.v.09
TAILOR	881	tailor.n.01
CLOTH	1616	fabric.n.01
WOOL	964	wool.n.02
COTTON	1850	cotton.n.02
SILK	1641	silk.n.01
FELT	325	felt.n.01
FUR	580	fur.n.03
LEATHER	629	leather.n.01
SPIN	121	spin.v.06
SPINDLE	277	spindle.n.04
WEAVE	133	weave.v.02
LOOM	1787	loom.n.01
SEW	1457	sew.v.01
AWL	278	awl.n.01
DYE	157	dye.v.01
CLOAK	326	cloak.n.02
COLLAR	2012	collar.n.01
BOOT	585	boot.n.01
HEADGEAR	2130	cap.n.01
VEIL	1151	head_covering.n.01
POCKET	1851	pocket.n.01
JEWEL	1029	jewel.n.01
BEAD	1860	bead.n.01
RAZOR	151	razor.n.01
OINTMENT	1926	ointment.n.01
DWELL (LIVE, RESIDE)	363	populate.v.01
HUT	1678	hovel.n.01
YARD	736	court.n.10
ROOM	1450	room.n.01
DOOR	1567	gate.n.01
CHIMNEY	1305	chimney.n.01
PILLOW	1044	pillow.n.01
TORCH OR LAMP	2131	torch.n.01
SHELF	745	shelf.n.01
TROUGH	205	manger.n.01
BOARD	1227	board.n.02
MASON	877	mason.n.04
ADOBE	901	adobe.n.02
FIELD	212	field.n.01
CULTIVATE	1541	cultivate.v.02
DITCH	2002	ditch.n.01
PLOUGH	1921	plow.v.01
FURROW	1794	furrow.n.01
PITCHFORK	337	pitchfork.n.01
SEED	714	seed.n.02
MOW	190	mow.v.01
SICKLE OR SCYTHE	2132	scythe.n.01
THRESH	285	thrash.v.06
THRESHING-FLOOR	223	threshing_floor.n.01
GRAIN	605	grain.n.08
WHEAT	1077	wheat.n.01
BARLEY	932	barley.n.02
RYE	23	rye.n.02
OAT	60	oat.n.01
PLANT (VEGETATION)	653	plant.n.02
BEECH	1950	beech.n.01
BIRCH	1855	birch.n.02
VINE	343	vine.n.01
TOBACCO	974	tobacco.n.01
PIPE	1124	pipe.n.01
BARK	1204	bark.n.01
SAP	345	sap.n.01
COCONUT	970	coconut.n.02
CITRUS FRUIT	1126	citrus.n.01
SWEET POTATO	159	sweet_potato.n.02
YAM	410	yam.n.04
CASSAVA	925	cassava.n.02
MUSHROOM	641	mushroom.n.02
WORK (LABOUR)	984	work.n.01
BEND	2004	flex.v.05
TIE	1917	tie.v.01
UNTIE	352	untie.v.01
STRIKE OR BEAT	2133	beat.v.03
SHEARS	356	shears.n.01
ADZE	290	adz.n.01
BROKEN	588	broken.s.11
RUB	1449	rub.v.01
STRETCH	214	elongate.v.01
PULL	1455	pull.v.01
HANG UP	357	hang.v.02
PRESS	1913	press.v.01
POUR	1487	pour.v.01
WASH	1453	wash.v.03
SWEEP	230	sweep.v.06
CARPENTER	1042	carpenter.n.01
BUILD	1840	construct.v.01
BORE	1501	bore.v.02
BLACKSMITH	1001	blacksmith.n.01
ANVIL	1648	anvil.n.01
CAST	211	cast.v.07
LEAD (CHEMICAL ELEMENT)	627	lead.n.02
CLAY	1399	clay.n.01
MAT	195	mat.n.01
CARVE	228	carve.v.01
CHISEL	1979	chisel.n.01
PAINT (PIGMENTS)	647	paint.n.01
SKY	1732	sky.n.01
SUN	1343	sun.n.01
MOON	1313	moon.n.01
STAR	1430	star.n.03
CLOUD	1489	cloud.n.02
WIND	960	wind.n.01
RAIN (PRECIPITATION)	658	rain.n.01
SNOW	784	snow.n.01
FOG	249	fog.n.01
WATER	948	water.n.06
RIVER	666	stream.n.01
LAKE	624	lake.n.01
FIRE	221	fire.n.03
LEFT	244	left.r.01
RIGHT	1019	right.r.04
YEAR	1226	year.n.01
MONTH	1370	calendar_month.n.01
DAY (24 HOURS)	1260	day.n.05
MORNING	1339	morning.n.01
COW	1007	cow.n.01
HORSE	615	horse.n.01
PIG	1337	hog.n.03
SHEEP	1331	sheep.n.01
DOG	2009	dog.n.01
CAT	1208	cat.n.01
BEAR	1820	bear.n.01
MONKEY	1350	monkey.n.01
WOLF	522	wolf.n.01
CHICKEN	1318	chicken.n.02
DOVE	1853	dove.n.01
BIRD	937	bird.n.01
EAGLE	1905	eagle.n.01
CROW	913	crow.n.01
SWALLOW	897	swallow.v.01
BAT	1793	bat.n.01
FROG	503	frog.n.01
FISH	227	fish.n.01
SNAKE	730	snake.n.01
BEE	665	bee.n.01
BUTTERFLY	1791	butterfly.n.01
ANT	587	ant.n.01
SPIDER	843	spider.n.01
FLY (INSECT)	1504	fly.n.01
MOSQUITO	1509	mosquito.n.01
EGG	744	egg.n.02
WING	1257	wing.n.01
TAIL	1220	tail.n.01
TREE	906	tree.n.01
PINE	1740	pine.n.01
BAMBOO	1927	bamboo.n.01
MAIZE	506	corn.n.01
BEAN	832	bean.n.01
PUMPKIN	864	squash.n.02
CHILI PEPPER	919	chili.n.02
PEPPER	1385	pepper.n.03
GRASS	606	grass.n.01
ROOT	670	root.n.01
LEAF	628	blade.n.01
FLOWER	239	flower.n.02
FRUIT	1507	fruit.n.01
BODY	1480	body.n.01
HEAD	1256	head.n.01
HAIR	1040	hair.n.01
FACE	1560	face.n.01
EYE	1248	eye.n.01
NOSE	1221	nose.n.01
EAR	1247	ear.n.01
TOOTH	1380	tooth.n.01
TONGUE	1205	tongue.n.01
BEARD	678	beard.n.01
NECK	1333	neck.n.01
HAND	1277	hand.n.01
FINGER	1303	finger.n.01
FINGERNAIL	1258	fingernail.n.01
BELLY	1251	abdomen.n.01
NAVEL	1838	navel.n.01
FOOT	1301	foot.n.01
KNEE	1371	knee.n.01
BONE	1394	bone.n.01
INTESTINES	1991	intestine.n.01
STOMACH	819	stomach.n.01
HEART	1223	heart.n.02
WOMAN	962	woman.n.01
CHILD (DESCENDANT)	1801	child.n.02
GRANDFATHER	1383	grandfather.n.01
FATHER	1217	father.n.01
MOTHER	1216	mother.n.01
FAMILY	194	family.n.02
HOUSE	1252	house.n.01
BRIDGE	1011	bridge.n.01
WALL (OF HOUSE)	933	wall.n.01
CLOTHES	1895	apparel.n.01
TROUSERS	809	trouser.n.01
EARRING	770	earring.n.01
BRACELET	1754	bracelet.n.02
SHOE	1381	shoe.n.01
SALT	1274	salt.n.02
MEAT	634	meat.n.01
TEA	1373	tea.n.01
SUGAR	862	sugar.n.01
KNIFE	1352	knife.n.01
HOE	284	hoe.n.01
BROOM	245	broom.n.01
SINK (BASIN)	915	sink.n.01
BOTTLE	1321	bottle.n.01
STOVE	859	stove.n.01
FIREWOOD	10	firewood.n.01
TABLE	1775	table.n.02
BED	1663	bed.n.01
LADDER	1464	ladder.n.01
LOCK	1596	lock.n.01
KEY	1472	key.n.01
MIRROR	1171	mirror.n.01
COMB	1475	comb.n.01
PAPER	648	paper.n.01
PEN	794	pen.n.01
BOOK	963	book.n.01
DANCE	1879	dance.v.02
GHOST	1175	ghost.n.03
LISTEN	1608	listen.v.01
EAT	1336	eat.v.01
DRINK	1401	drink.v.01
CHEW	321	chew.v.01
READ	724	read.v.01
SLEEP	1585	sleep.v.01
DO	813	act.v.02
PLANT (SOMETHING)	1486	plant.v.01
CUT	1432	cut.v.01
LEAD (GUIDE)	43	lead.v.01
CALL BY NAME	180	name.v.01
WRITE	1672	write.v.02
COOK (SOMETHING)	1100	cook.v.02
PILE UP	1576	pile_up.v.02
LIGHT (IGNITE)	737	ignite.v.01
LOOK FOR	1468	search.v.01
PURSUE	1047	pursue.v.02
STEAL	713	steal.v.01
HATE	1607	hate.v.01
BE	1579	be.v.03
COME BACK	581	hark_back.v.01
GO DOWN (DESCEND)	2014	descend.v.01
BREAK (DESTROY OR GET DESTROYED)	680	break.v.05
SHIVER	52	shudder.v.02
DIE	1494	die.v.01
FAR	1406	far.r.02
LIGHT (WEIGHT)	1052	light.a.01
HEAVY	1210	heavy.a.01
RED	156	red.s.01
YELLOW	1424	yellow.s.01
BLUE	837	blue.s.01
WHITE	1335	white.a.01
BLACK	163	black.a.01
GREEN	1425	green.s.01
COLD	1287	cold.a.01
SWEET	717	sweet.a.01
FRAGRANT	376	fragrant.a.01
ONE	1493	one.s.01
TWO	1498	two.s.01
THREE	492	three.s.01
FOUR	1500	four.s.01
FIVE	493	five.s.01
SIX	1703	six.s.01
SEVEN	1704	seven.s.01
EIGHT	1705	eight.s.01
NINE	1483	nine.s.01
TEN	1515	ten.s.01
HUNDRED	1634	hundred.s.01
THOUSAND	1843	thousand.s.01
HERE	136	here.r.01
THERE	1937	there.r.01
SPIRIT	53	spirit.n.01
ANIMAL	619	animal.n.01
ARM	1673	arm.n.01
ARROW	977	arrow.n.02
ASK (REQUEST)	1828	ask.v.02
AXE	677	ax.n.01
BACK	1291	back.n.01
BECOME	1990	become.v.01
BURNING	1428	burn.v.03
BEER	1639	beer.n.01
BOW	994	bow.n.04
BRANCH	1531	branch.n.02
BULL	1008	bull.n.01
MILLET	931	sorghum.n.01
CALF OF LEG	498	calf.n.02
CHAIR	1476	chair.n.01
CHEEK	1730	cheek.n.01
CHIN	1510	chin.n.01
CLAN	302	kin.n.02
FINISH	1766	complete.v.01
POT	1462	pot.n.01
COUNTRY	1300	country.n.02
DAY (NOT NIGHT)	1225	day.n.01
DIG	1418	dig.v.01
DONKEY	1862	domestic_ass.n.01
DRAW (WATER)	1911	draw.v.07
DRUM	908	drum.n.01
ELEPHANT	1290	elephant.n.01
EYEBROW	1173	eyebrow.n.01
FIREPLACE	185	fireplace.n.01
FLY (MOVE THROUGH AIR)	1441	fly.v.01
FOAM	1768	foam.n.01
GOAT	1502	goat.n.01
GOD	1944	deity.n.01
HONEY	942	honey.n.01
KILL	1417	kill.v.10
LIGHTNING	1654	lightning.n.01
LIP	478	lip.n.01
MILK	635	milk.n.01
NIGHT	1233	night.n.01
PATH	2252	path.n.02
REFUSE	49	refuse.v.01
ROOSTER	1511	cock.n.04
SAND	671	sand.n.01
SMOKE (EXHAUST)	778	smoke.n.02
SPLIT	1437	cleave.v.01
SPREAD OUT	38	unfold.v.04
DRAW MILK	93	milk.v.01
SUGAR CANE	146	sugarcane.n.01
TEAR (OF EYE)	1651	tear.n.01
TERMITE	883	termite.n.01
TESTICLES	797	testis.n.01
TICK	1527	tick.n.02
TWINS	1005	twin.n.01
UNRIPE	1958	green.a.03
WIPE	1454	wipe.v.01
YOUNG MAN	76	young_buck.n.01
BANANA	868	banana.n.02
PALM TREE	1181	palm.n.03
SPINE	805	spinal_column.n.01
ICE	617	ice.n.01
RAINBOW	1733	rainbow.n.01
WEATHER	952	weather.n.01
AFTERNOON	1807	afternoon.n.01
EVENING	1629	evening.n.01
GOLD	1369	gold.n.03
SILVER	759	silver.n.01
COPPER	1825	copper.n.01
IRON	621	iron.n.01
LION	1386	lion.n.01
DEER	1936	deer.n.01
DUCK	1360	duck.n.01
TURTLE	112	turtle.n.02
SNAIL	1543	snail.n.01
FIREFLY	206	glowworm.n.01
SCALE	266	scale.n.10
RICE	926	rice.n.02
FLOUR	1594	flour.n.01
POTATO	593	potato.n.01
GOURD	411	gourd.n.01
GRAPE	920	grape.n.01
CANDY	874	sweet.n.03
CIGARETTE	969	cigarette.n.01
SHIRT	1622	shirt.n.01
COAT	603	coat.n.01
SKIRT	1600	skirt.n.02
GLOVE	867	glove.n.02
STOCKING	329	stocking.n.01
TOWEL	1021	towel.n.01
TOILET	219	toilet.n.01
BEAM	1132	beam.n.02
WINDOW	1375	window.n.01
SPOON	1378	spoon.n.01
JUG	270	pitcher.n.02
GLUE	1069	glue.n.01
NEEDLE (FOR SEWING)	1382	needle.n.03
